"date","author","body","titles","urls"
"6 minutos","Associated Press","El frío mortal de esta semana en Estados Unidos no fue una sorpresa.Los meteorólogos gubernamentales y privados lo vieron venir, algunos con casi tres semanas de anticipación. Comenzaron a emitir advertencias dos semanas antes. Hablaron con los funcionarios. Emitieron advertencias contundentes a través de las redes sociales.Y, sin embargo, ocurrió una catástrofe. Al menos 20 personas han muerto y 4 millones de hogares en algún momento se quedaron sin electricidad, calefacción o agua.Los expertos dijeron que los meteorólogos tenían ambos tipos de ciencias: la física atmosférica orientada a las matemáticas para el pronóstico y las ciencias sociales blandas sobre cómo transmitir su mensaje.""Esto se convirtió en un desastre debido a la fragilidad humana y de la infraestructura, la falta de planificación para el peor de los casos y la enormidad del clima extremo"", dijo la profesora de ciencias de desastres Jeannette Sutton de la Universidad de Albany en Nueva York.El evento muestra cuán poco preparada está la nación y su infraestructura para eventos climáticos extremos que se convertirán en problemas mayores con el cambio climático, dijeron meteorólogos y expertos en desastres.Los daños asegurados, solo una fracción de los costos reales, para la intensa congelación de casi una semana que comienza el fin de semana del Día de San Valentín son probablemente $18 mil millones, según una estimación preliminar de la firma de modelos de riesgo Karen Clark & ​​Company.Kim Klockow-McClain dirige la unidad de conocimientos sobre el comportamiento del Servicio Meteorológico Nacional, que se centra en cómo hacer que los pronósticos y las advertencias sean más fáciles de entender y de actuar para las personas.""La gente escuchó el mensaje y recibió las advertencias"", sostuvo McClain. ""Sin embargo, por varias razones no estaban preparados, dijo Klockow-McClain.""La meteorología fue la parte más fácil de esto"", dijo Klockow-McClain.El experto privado en tormentas de invierno Judah Cohen de Atmospheric and Environmental Research escribió por primera vez en su blog sobre el peligro el 25 de enero. Dijo que la señal meteorológica del Ártico, de donde se escapaba el aire frío, “estaba literalmente parpadeando en rojo. Fue el más fuerte que había visto "".En la Universidad de Oklahoma, el profesor de meteorología Kevin Kloesel, quien también es el gerente de emergencias de la escuela, envió una alerta el 31 de enero advirtiendo sobre ""temperaturas bajo cero y la posibilidad de vientos helados bajo cero"". Para el 7 de febrero, casi una semana antes de que comenzara lo peor de la tormenta invernal, estaba enviando múltiples advertencias al día.El profesor de meteorología de la Universidad de Oklahoma, Jason Furtado, tuiteó sobre el frío ""fuera de la tabla"" el 5 de febrero.El Servicio Meteorológico comenzó a hablar sobre el congelamiento unas dos semanas antes y dio ""el pronóstico más preciso que podemos hacer junto con mensajes consistentes"", dijo John Murphy, director de operaciones de la agencia. ""La magnitud y gravedad del evento es algo para lo que algunas personas no estaban completamente preparadas"".Por su parte, el profesor de meteorología de la Universidad de Texas A&M, Don Conlee, dijo que pronosticar lo público y lo privado era ""probablemente lo mejor que he visto en mi carrera meteorológica"".Entonces, ¿por qué tantas entidades parecían desprevenidas?Uno de los principales problemas fue la red eléctrica de Texas, supervisada por el Consejo de Confiabilidad Eléctrica de Texas.Sutton dijo que hubo ""una gran falla"" en esa parte de la infraestructura.“La memoria institucional parece tener menos de 10 años porque esto sucedió en 2011 y hubo un conjunto integral de recomendaciones sobre cómo podría evitarse esto en el futuro”, dijo Kloesel en un correo electrónico.El director ejecutivo del operador de la red, Bill Magness, dijo a los reporteros el jueves que la agencia se preparó en base a brotes de resfriado pasados ​​y “este cambia el juego porque era mucho más grande, mucho más severo y hemos visto el impacto que ha tenido. ""Esencialmente, decir que era tan grande que no estaba planeado ""no es una buena manera de planificar, especialmente si se supone que debemos aprender de nuestros fracasos"", dijo Sutton.Otro posible problema es que los meteorólogos que emiten advertencias no estaban familiarizados con la fragilidad de la red de Texas, por lo que no pudieron enfatizar más el poder en sus advertencias, dijo Klockow-McClain.Además, esto era tan inusual que la gente común no tenía idea de cómo manejarlo, dijo Sutton. Simplemente no era algo que hubieran experimentado antes.La gente también piensa que conoce el frío, a pesar de que esto era diferente y extremo, por lo que la gente probablemente juzgó los pronósticos basándose en escalofríos mucho más suaves, dijo Klockow-McClain.El pronóstico también incluyó nieve y hielo que probablemente llamaron la atención de la gente más que la caída de temperatura, dijo Klockow-McClain.“Seres humanos, vivimos nuestras vidas como si no estuviéramos en riesgo”, dijo Sutton. ""Se nos ocurren todo tipo de fundamentos para 'vamos a estar bien'"".","Falta de planificación provocó una catástrofe fría en Estados Unidos","/el-mundo/falta-de-planificaci-n-provoc-una-cat-strofe-fr-a-en-estados-unidos/article_cd9fcb52-731e-11eb-95ed-0f419f61898a.html"
"19/02/2021","Associated Press","SAN DIEGO— El gobierno del presidente Joe Biden encaminó el viernes el sistema de asilo para que vuelva a funcionar como lo hizo durante décadas al permitir que un grupo de solicitantes quedara en libertad dentro de Estados Unidos, poniendo fin a la larga espera de los migrantes en México y deshaciendo una política del expresidente Donald Trump para contener la inmigración.Las 25 personas que ingresaron son las primeras de unos 25,000 solicitantes de asilo con casos activos en el programa ""Permanecer en México” que ahora aguardarán sus audiencias en Estados Unidos, en lugar de hacerlo al sur de la frontera. Recelosas de que haya un incremento en el número de migrantes que arriban, las autoridades estadounidenses le están advirtiendo a la gente que no acuda a la frontera, sino que se registre en un sitio web que el Alto Comisionado de las Naciones Unidas para los Refugiados lanzó el viernes.Los recién llegados fueron trasladados a hoteles de San Diego para que guarden cuarentena debido a la pandemia de coronavirus antes de que viajen a sus destinos finales en Estados Unidos, lo que comúnmente significa quedarse con parientes, amigos o patrocinadores.Biden está cumpliendo su promesa de poner fin a una política que Trump dijo era crucial para revertir un incremento en el número de solicitantes de asilo, que alcanzó su nivel más elevado en 2019. El programa, conocido oficialmente como “Protocolos de Protección a Migrantes"", cambió la forma como el gobierno estadounidense solía tratar a la gente que solicitaba protección de la violencia y la persecución. La política de Trump los dejaba expuestos a la violencia en las ciudades fronterizas mexicanas y les dificultaba hallar abogados y comunicarse con las cortes para saber de sus casos.Hay preguntas no respondidas sobre los cambios de Biden, incluyendo cómo los centroamericanos que regresaron a sus países volverán a la frontera entre Estados Unidos y México. Tampoco está claro cuánto tiempo llevará resolver todos los casos, de los cuales tienen prioridad los más antiguos.También había algo de confusión en la frontera. Unas 100 personas se reunieron el viernes en el cruce de Tijuana, México, donde difundieron rumores, pero con la esperanza de captar información acerca de cuándo se les permitirá ingresar a Estados Unidos mientras las cortes toman una determinación sobre sus casos.Se prevé que, en San Diego, las autoridades estadounidenses pongan en libertad cada día a 25 personas que han sido obligadas a esperar en México, dijo Michael Hopkins, director general de Jewish Family Service de San Diego, una agencia de servicios humanos sin fines de lucro que está desempeñando un papel crucial de apoyo. Las autoridades pueden procesar hasta a 300 personas al día en el cruce fronterizo de San Diego, pero Hopkins dijo que se desconoce cuándo modificarán el objetivo actual de 25 diarias.Se prevé que a partir del lunes también se permita el ingreso de gente al país en Brownsville, Texas, y a partir del próximo viernes en El Paso, Texas.La Organización Internacional para las Migraciones realiza en México pruebas de detección del Covid-19 a los solicitantes de asilo y pone en cuarentena durante 10 días a todo aquel que dé positivo. En San Diego, incluso los solicitantes de asilo que dieron negativo estarán en cuarentena en hoteles durante siete días, atendiendo las directrices de los Centros para el Control y la Prevención de Enfermedades.Una coalición de grupos no gubernamentales llamada Red de Respuesta Rápida de San Diego proporcionará habitaciones de hotel, coordinará el transporte y efectuará revisiones médicas, señaló Hopkins. La agencia Jewish Family Service adquirirá boletos de autobús o de avión si los solicitantes de asilo no pueden pagarlos, y ropa invernal de ser necesario.“Nos aseguraremos de que están saludables y en buen estado para viajar"", dijo Hopkins en una entrevista.Unos 70,000 solicitantes de asilo han formado parte del programa Permanecer en México desde que comenzó en enero de 2019.Aquellos cuyos casos fueron descartados o denegados no pueden volver al país, pero las autoridades estadounidenses no han descartado proporcionar algún tipo de ayuda más adelante.El gobierno de Biden, que dejó de inscribir a los recién llegados en su primer día como presidente, dijo la semana pasada que los solicitantes de asilo con casos activos serían liberados en Estados Unidos con notificaciones para comparecer ante cortes migratorias lo más cerca posible de su destino final. Esto supuso un gran alivio para los que tienen esta opción, aunque Washington y la ONU pidieron que no haya llegadas masivas a la frontera.Edwin Gómez, quien dijo que su esposa y su hijo de 14 años fueron asesinados por pandillas en El Salvador después de que él no pudo pagar las extorsiones que le exigían por su taller de autos, estaba ansioso por reunirse con su hija de 15 años en Austin, Texas. Ella ya recibió asilo y vive con familiares.“Nunca pensé que esto fuese a pasar”, dijo Gómez, de 36 años, el miércoles en Tijuana, México, en un cruce fronterizo con San Diego.En la ciudad mexicana de Matamoros, al sur del río Bravo, la salvadoreña Enda Marisol Rivera y su hijo de 10 años han estado soportando gélidas temperaturas esta semana, acurrucados bajo pilas de mantas donadas dentro de una tienda hecha con lonas. Su estufa de gas propano se congeló, dijo. A pesar de las dificultades causadas por la ola de frío polar que afectó a Texas y el norte de México, Rivera estaba de buen ánimo.Ella y su hijo están entre aproximadamente 850 migrantes que viven en un campamento instalado en un extenso parque de Matamoros, que solicitaron asilo y se les dijo que debían esperar en México a conocer la fecha de su juicio. Muchos rechazaron esta semana los ofrecimientos para trasladarse a albergues en la ciudad por temor a perder su oportunidad para ingresar a Estados Unidos si no están cerca de la frontera.Rivera está esperanzada de que podrá ingresar a Estados Unidos, donde podría vivir con su hermana en Los Ángeles mientras su caso avanza en los tribunales.“Confiamos en Dios que logremos pasar"", dijo el miércoles. “Ya hemos pasado bastante tiempo acá”.","Estados Unidos empieza a recibir a solicitantes de asilo desde México","/el-mundo/estados-unidos-empieza-a-recibir-a-solicitantes-de-asilo-desde-m-xico/article_b8b4b55e-7319-11eb-925a-bbb7729edf49.html"
"una hora","Associated Press","WINDERMERE, Florida, EE.UU.— El expelotero Johnny Damon fue arrestado el viernes en Florida, acusado de oponer resistencia a un policía luego que se le pidió detener la marcha de su vehículo bajo sospecha de que conducía bajo el influjo del alcohol, de acuerdo con registros de la corte y de la cárcel.Damon, de 47 años y quien llegó a ser elegido al Juego de Estrellas, fue fichado en la cárcel del condado de Orange la madrugada del viernes después del incidente en Windermere, un suburbio adinerado de Orlando que es popular entre deportistas profesionales. Se le fincó un cargo por resistirse sin violencia a un policía, un delito menor de primer grado.Un listado en línea de la corte no incluyó el nombre de un abogado de Damon que pudiera ofrecer declaraciones en nombre del exjugador.Los registros de la cárcel muestran que la esposa de Damon, Michelle Mangan-Damon, también fue arrestada. Enfrenta cargos de agresión a un agente y de resistirse con violencia a un arresto.Un agente policial pidió que Damon detuviera su camioneta deportiva después de que notó una trayectoria errática. El vehículo habría golpeado además un bordillo y no se habría detenido ante un letrero de alto, de acuerdo con el agente, citado en un reporte policial reproducido por el diario Orlando Sentinel.Las autoridades dijeron que Damon no podía pronunciar adecuadamente las palabras ni mantener el debido equilibrio cuando estaba de pie. Al preguntársele cuánto había bebido, respondió: “Solo un poco”, según el informe policial.La esposa de Damon salió del auto, pese a que se le ordenó permanecer en el interior mientras esperaban la llegada de otro policía. La mujer habría desobedecido las órdenes del agente, señala el reporte.El policía sujetó la muñeca de Mangan-Damon y trató de empujarla para que volviera al auto. Damon se interpuso y comenzó a forcejear con el agente, quien trató de esposar a ambos, según el reporte.El segundo agente llegó. La pareja fue esposada y detenida.Damon, quien creció en Orlando, fue un jardinero dos veces seleccionado para el Juego de Estrellas, que militó en siete equipos de las Grandes Ligas de 1995 a 2012. Fue un elemento clave de los Medias Rojas de Boston que conquistaron la Serie Mundial en 2004 y rompieron la histórica sequía de la franquicia de 86 años sin un título.Posteriormente fue contratado por los acérrimos rivales de Boston, los Yanquis de Nueva York, a quienes ayudó a ganar la Serie Mundial en 2009.","Arrestan al expelotero Johnny Damon","/el-mundo/arrestan-al-expelotero-johnny-damon/article_fc3c884e-7317-11eb-8f00-bf796b7baabf.html"
"una hora","Redacción elvocero.com","La película En el ojo del huracán estará disponible en elvocero.com hasta el sábado, 20 de febrero hasta las 9:00 p.m.Si quieres disfrutar de más películas de Jorge Luis Ramos y Vicente Castro conéctate al próximo Viernes de película vintage a través de todas nuestras plataformas.Durante la semana daremos a conocer la película del próximo viernes.","Viernes de película vintage: En el ojo del Huracán","/escenario/viernes-de-pel-cula-vintage-en-el-ojo-del-hurac-n/article_b8b35c80-730b-11eb-a84a-db2c1f28dfad.html"
"6 horas","Melissa Correa Velázquez, EL VOCERO","Un gran jurado federal acusó a un sujeto por el robo a mano armada a la gasolinera Toral el 5 de julio de 2020 en Bayamón, informó el fiscal Stephen Muldrow.El acusado fue identificado como Rey Omar Pagán Hernández. Se alega que robó $800 y mercancía.Pagán Hernández se expone a una sentencia de siete años de cárcel.El fiscal Juan Carlos Reyes Ramos está a cargo del procesamiento criminal.El caso fue investigado por el Negociado Federal de Investigaciones (FBI).","Gran jurado acusa sujeto por robo a gasolinera en Bayamón","/ley-y-orden/gran-jurado-acusa-sujeto-por-robo-a-gasolinera-en-bayam-n/article_345d3918-72ea-11eb-aca6-b386c5b7fbea.html"
"6 horas","Melissa Correa Velázquez, EL VOCERO","Un gran jurado federal acusó a un sujeto por el robo a mano armada a la gasolinera Toral el 5 de julio de 2020 en Bayamón, informó el fiscal Stephen Muldrow.El acusado fue identificado como Rey Omar Pagán Hernández. Se alega que robó $800 y mercancía.Pagán Hernández se expone a una sentencia de siete años de cárcel.El fiscal Juan Carlos Reyes Ramos está a cargo del procesamiento criminal.El caso fue investigado por el Negociado Federal de Investigaciones (FBI).","Gran jurado acusa sujeto por robo a gasolinera en Bayamón","/ley-y-orden/gran-jurado-acusa-sujeto-por-robo-a-gasolinera-en-bayam-n/article_345d3918-72ea-11eb-aca6-b386c5b7fbea.html"
"7 horas","Melissa Correa Velázquez, EL VOCERO","El Tribunal de Primera Instancia de San Juan señaló para el 26 de febrero la celebración de una vista argumentativa en relación con la demanda incoada por la Comisión Estatal de Elecciones (CEE) contra la Comisión de Derechos Civiles (CDC).En el recurso, la CEE pide a la corte una orden para que deje sin efecto las citaciones del personal de la agencia sobre una investigación en torno a posibles violaciones de los derechos civiles de los electores, tras la suspensión de las primarias que comenzaron el 9 de agosto.La CDC citó a varios empleados de la CEE a una vista ejecutiva a celebrarse el 16, 23 y 25 de febrero, luego de comenzar una investigación relacionada con la posibilidad de que la suspensión parcial de las primeras del 9 de agosto, constituía una violación de los derechos civiles de los electores.La CEE alega que las citaciones no contienen el apercibimiento fundamental de que los citados puedan o deban comparecer acompañados de representación legal, derecho a ser escuchado, derecho a presentarse evidencia a su favor, derecho a contra interrogar  y que la decisión sea basada en el contenido del expediente.La entidad electoral entiende que la CDC no cuenta con un reglamento o procedimiento, adecuadamente promulgado y adoptado en derecho, para que la audiencia o sesión ejecutiva salvaguarde los derechos de los funcionarios citados.La CEE pide a la corte que emita una orden de cese y desista de solicitar y requerir información y dejar sin efecto las citaciones emitidas al personal de la CEE.De igual forma, la CEE pide que el tribunal delimite y defina los contornos, alcance y elementos procesales básicos de toda citación y proceso investigativo activado por la CDC, relacionado con el personal de la CEE.El juez Anthony Cuevas ordenó a la CDC a mostrar causa por la cual no se deba expedir los remedios solicitados por la CEE. Asimismo, le dio tres días a la CDC para comparecer por escrito y presentar sus argumentos en o antes del mediodía del 24 de febrero. Por su parte, el director ejecutivo del CDC, Ever Padilla Ruiz, dijo a EL VOCERO estar sorprendido, ya que desconocía de la radicación de la demanda en contra de la organización. “Ya comenzamos la investigación, entrevistamos a los expresidentes Héctor Conty y Liza García, nos proponemos citar una serie de personal de la CEE”, indicó.
        
            
                         Download PDF","La CEE demanda a la Comisión de Derechos Civiles","/ley-y-orden/la-cee-demanda-a-la-comisi-n-de-derechos-civiles/article_b626f684-72de-11eb-ac52-af8d9955e540.html"
"9 horas","InterNewsService","Un individuo de 26 años fue acusado de violencia doméstica contra su expareja, en hechos reportados durante la mañana del miércoles en el pueblo de Quebradillas.El agente José D. Martínez Rivera, de Violencia Doméstica de Arecibo, y la fiscal Linda Sepúlveda presentaron cargos por el delito de maltrato agravado en presencia de menores contra Samuel A. De León Chico.El caso fue llevado ante la jueza Cyndia Irizarry Casiano, del Tribunal de Primera Instancia de Arecibo, quien determinó causa para arresto y le impuso una fianza de $10 mil, que fue cubierta por intermedio de un fiador privado.La vista preliminar quedó pautada para el 4 de marzo.","Acusan a individuo por violencia de género en Quebradillas","/ley-y-orden/acusan-a-individuo-por-violencia-de-g-nero-en-quebradillas/article_957fcf1a-72ce-11eb-b9d1-53ddb9b2faa5.html"
"9 horas","InterNewsService","Una mujer entregó $3,000 a un delincuente para la liberación de su hija, quien supuestamente había sido secuestrada, en Puerto Nuevo.Los hechos ocurrieron a eso de las 5:00 p.m. del jueves en el estacionamiento del restaurante Burger King de la Avenida Roosevelt.Arileida Bautista relató que recibió una llamada telefónica en la que le indicaron que si quería ver de vuelta a su hija, tenía que entregar el dinero.El timo fue referido a la división de Delitos Contra la Propiedad del Cuerpo de Investigaciones Criminales (CIC) de San Juan.","Paga $3,000 por falso secuestro de su hija en Puerto Nuevo","/ley-y-orden/paga-3-000-por-falso-secuestro-de-su-hija-en-puerto-nuevo/article_dd98e9b2-72ba-11eb-97a1-a7f5a412f619.html"
"9 horas","InterNewsService","El cuerpo de un anciano en estado de descomposición fue hallado a eso de las 3:33 de la tarde del jueves en la calle Comercio, en Juana Díaz.Vecinos alertaron de un fuerte hedor en los altos de la residencia 106 y al llegar patrulleros del distrito encontraron el cadáver de José A. León Martínez, de 72 años y quien no presentaba signos de violencia.Los agentes Francisco Meléndez, de Homicidios, y Roberto Leandry, de Servicios Técnicos, asumieron la investigación junto a la fiscal Jackeline Pizarro.","Hallan cadáver en estado de descomposición en Juana Díaz","/ley-y-orden/hallan-cad-ver-en-estado-de-descomposici-n-en-juana-d-az/article_2c3690c2-72a9-11eb-9ad2-77e623d065fd.html"
